index,sentence_1,sentence_2,calculated_similarity,actual_similarity
70,i was supposed to go to the movies and gokart racing on my prom night,on my prom night i was supposed to go to the movies and go go kart racing,0.95435673,0.938
71,close up the shale pieces looks rather lovely,closeup pieces of shale look quite nice,0.8138796,0.938
72,about 60 crushed to death in ivory coast stampede,61 dead in ivory coast stampede,0.9001435,0.938
73,not any more than any other female,no more than any other girl ,0.88875717,0.938
74,i disagree i love er and wildfire,no i love er and wildfire,0.8948264,0.938
75,coldplay is becoming popular really quickly,coldplay is really coming up fast,0.68795985,0.938
76,the sequel  pikmin 2  was released in 2004 ,pikmin had a sequel called pikmin 2 in 2004 for the gamecube as well ,0.7725115,0.938
77,a woman and man are dancing in the rain,a man and woman are dancing in rain,0.9930042,0.938
78,jamun trees start flowering from march to april ,the jamun tree starts flowering in marchapril ,0.8155908,0.938
79,cottontail rabbits show a greater resistance to myxomatosis than european rabbits ,cottontail rabbits do not get the disease myxomatosis as easily as european rabbits ,0.8262177,0.938
80,me and my friends used to love getting manicures,my friends and i loved going out for a manicure,0.85403943,0.938
81,the second answer was i just went to the toilet and i got a tampax,the 2nd answer was  i just went to the toilet and i got a tampax,0.9848791,0.938
82,bishan currently has 3 shopping centres ,bishan has three shopping centers ,0.75544477,0.938
83,all right whos ready for some bananapeanut butter pancakes,okay who wants banana pancakes with peanut butter,0.76030767,0.938
84,i read somewhere a new movie will be coming out 2008 or next year,i read somewhere a new movie will be coming out next year or 2008,1.0000001,0.938
85,one woman is measuring another womans ankle,a woman measures another womans ankle,0.8675598,0.938
86,it might be genetic or he might like dark colored makeup on his nose,maybe its geneticor maybe he likes dark makeup on his nose,0.8554686,0.938
87,i like tess but jessica is too much of a goodygoody,i like tessjessica is to goody goody,0.5965956,0.938
88,pittodrie stadium is a football stadium situated in the scottish city of aberdeen ,pittodrie stadium is a stadium in aberdeen  scotland ,0.8935715,0.938
89,do nt feel bad my son is 31 and still single,dont feel bad my son is 31 and still single,0.9632187,0.938
90,a good website to resell your books is halfcom,halfcom is a great website to sell your books,0.9193366,0.938
91,flowers normally roses and a box of candy,flowers normally roses and a thing of candy,0.9263739,0.938
92,im going to get you safely out of rome,ill take you from rome to safety,0.621147,0.938
93,well heres a slipknot site wwwpulseofthemaggotscom,um well here is a slipknot site wwwpulseofthemaggotscom ,0.79180413,0.938
94,your questions do not make any sence,your questions dont make no sense,0.93095386,0.938
95,it depends do you really want to meet him,it depends if you really want to meet him,0.9881532,0.938
96,the flat earth model is a view that the earth s shape is a flat plane ,the idea of a flat earth is that the surface of the earth is flat ,0.8956086,0.938
97,fluoxetine is an antidepressant of the selective serotonin reuptake inhibitor class ,fluoxetine is a one of a group of antidepressants called selective serotonin reuptake inhibitors ,0.9510872,0.938
98,you already made your decision,you already made your decisionits over,0.90428305,0.938
99,amsterdam is just a load of bloody prostitutes isnt it,theres only a bunch of prostitutes in amsterdam right,0.77083606,0.938
100,syrian opposition offers assad truce in homs for duration of ramadan,syrian opposition offers assads forces truce for duration of ramadan,0.959985,0.938
101,i like that song if it is the right song,i like that song if its the right song ,0.97015417,0.938
102,obama praises mandela inspiration,obama hails mandelas inspiration effect,0.8126409,0.938
103,make yourself happy before anyone else,make urself happy before anyone else,0.92833644,0.938
104,kl shares remain higher midafternoon,kl shares continue uptrend midafternoon,0.85760385,0.938
105,autograph also refers to a person s signature ,an autograph can also mean someones signature ,0.7545198,0.938
106,game maker is a windows computer program originally developed by mark overmars in the delphi programming language ,game maker is a program for windows  an operating system  which was made first by mark overmars ,0.83371925,0.938
107,no wonder edward was reacting this way,it was no surprise that edward reacted like that,0.8758252,0.938
108,i am not sure if you need saxophone or piano music,not sure if you needed sax or piano music anyway,0.9328116,0.938
109,keifer performed well as jack bauer,yeah keifer does a great job as jack bauer,0.64550513,0.938
110,by 1850  strauss was calling himself levi ,by 1850 he had adopted the name  levi strauss  ,0.6957225,0.938
111,take him aside and tell him how you truly feel,take him aside and tell him how u truly feel,0.9728658,0.938
112,fred hoyle is credited with coining the term big bang during a 1949 radio broadcast ,fred hoyle called the theory the  big bang  on his radio show ,0.7782619,0.938
113,snowden sees no chance for us fair trial,snowden sees no chance to get fair trial in us,0.9692787,0.938
114,i believe it could have been more dramatic,i think it could have been more dramatic,0.9799409,0.938
115,a minimum wage is the lowest hourly  daily or monthly wage that employers may legally pay to employees or workers ,the minimum wage is the least amount of money that employees of a business can be paid ,0.8113931,0.938
116,im black and found it funny,im black and found it hilariously funny,0.9467484,0.938
117,artists  brushes are usually given numbered sizes  although there is no exact standard for their physical dimensions ,artists  brushes usually have sizes with numbers  but there is no standard ,0.91238046,0.938
118,i dont know sorry but she has got a great voice and my favorite song by her is breakaway,i dunno sorry but she has got a great voice and my favorite song by her is breakaway,0.98376125,0.938
119,federer wins 7th wimbledon title,federer captures 7th wimbledon title,0.891962,0.938
120,you ought to begin your life anew,you should start your life a new,0.90492785,0.938
121,at the 2006 census  euroa had a population of 2776 ,in 2006 there were 2776 people living in the town ,0.5832172,0.938
122,i had a lot of help from jack daniels,jack daniels helped me a lot,0.8346961,0.938
123,how can i go about winning her back,how do i win her back,0.91566557,0.938
124,the implementation of the directives provisions on sanctions against employers needs to be supported and monitored,it will need to monitor and control the implementation of the directive which sets out penalties for employers,0.80895734,0.938
125,denkova  staviski are the first bulgarian figure skaters to medal at the world figure skating championships ,denkova and staviski are the first bulgarian skaters to win worlds  which they did in 2006 and 2007 ,0.78563464,0.938
126,xenon is the only element which has nine stable isotopes ,for example  xenon has 9 isotopes ,0.8528211,0.938
127,seeing you is gonna make your grandmother very happy,grandma will be happy to see you,0.8762008,0.938
128,people like and desire the unattainable,people like and want what they cant have,0.6439942,0.938
129,matthew mcconaughey and i am not even gay,matthew mcchanughey and i aint even gay,0.9127866,0.938
130,this years search for bodies has produced twenty bodies,twenty bodies have been found this year,0.85960776,0.938
131,i have no clue as to why people are giving rude answers,i dont know why all the people keep giving rude answers,0.9020279,0.938
132,a gas station that costs 252 and ninetenths a gallon,a gas station name mh with gas the price of 252,0.7842471,0.933
133,michelle obama to star in parks and recreation,michelle obama to appear on parks and recreation,0.92554957,0.933
134,im not accusing him of being anything but shrewd and ambitious after all,after all i blame him nothing more than cunning and ambition,0.7866833,0.933
135,the asiatic salamanders are primitive salamanders found all over asia  and in european russia ,the asiatic salamanders are a primitive kind of salamanders that can be found throughout asia ,0.86803186,0.906
136,wedding crashers and the 40 year old virgin,wedding crashers and 40 yearold virgin,0.93138015,0.906
137,you are the brother of ragnar lothbrok are you not,youre ragnar lothbroks brother arent you,0.7848577,0.906
138,to answer your question any big city just ask a cab driver,to answer your question any big cityjust ask a cab driver,0.9760832,0.906
139,were already two million two over the original budget,we have exceeded the original budget by 22 million,0.8219721,0.906
140,i would like to hear your side of the story,i want to hear ur side,0.81577146,0.906
141,i wanted to see how people would react,in because i wanted to see how people would react,0.9777276,0.906
142,if you do not there is a reason why you do no,if you dont is there a reason you dont,0.9013839,0.906
143,people always want things that they cannot obtain,people always want what they cant have,0.880581,0.906
144,just looking at those pictures its got to be rough,it must have been hard to examine the pictures,0.75271565,0.906
145,us believes syrian government used chemical weapons,us suspects syria used chemical weapons,0.86350226,0.906
146,to get over to the other side,to get to the toher side,0.8378727,0.906
147,track fault disrupts train service between raffles place marina bay,train service disrupted between raffles place and marina bay,0.9220529,0.906
148,i do not know anything about her father,i dont know about her father,0.9010692,0.906
149,hamming can detect and correct singlebit errors and also can detect doublebit errors ,with hamming codes it is possible to correct onebit errors  and to detect twobit errors ,0.9056509,0.906
150,living on a prayer bon jovi,livin on a prayer bon jovi,0.8555023,0.906
151,a swimmer is doing the backstroke in the swimming pool,a person doing the back stroke in a swimming pool,0.79530823,0.906
152,ew bridgettes drinking from the milk carton,phew bridgette drinks milk right out of the box,0.68954915,0.906
153,im looking forward to reading the rest of the series,i look forward to reading the rest in this series,0.9276291,0.906
154,using the just say no motto depends on the circumstances,just say no depends what youre saying no to,0.8237422,0.906
155,this book was a lot of fun, spoiler alert  this was a really fun book,0.7924004,0.906
156,i had a nervous stomach because he frightened me,i had butterflies in my stomach bc he scared me,0.87442136,0.906
157,i think you need to wait until you become mature enough to handle this situation,if you cant handle it wait until you are mature enough,0.9392257,0.906
158,this shall also include a management plan for the sewage sludge,the waste sludge management plan is also included,0.89097226,0.906
159,around 12 am  the plant released methyl isocyanate gas and other toxins  resulting in the exposure of over 500000 people ,on 3 december 1984  the plant released 42 tonnes of toxic methyl isocyanate gas  exposing more than 500000 people to toxic gases ,0.85769004,0.906
160,you need to get an agent and make sure you get paid before paying anyone else,get an agentand dont pay anyone until you get paid,0.9169469,0.906
161,if you know the third 118 please share it with me,if you know the third 118 please share with me,0.9940878,0.906
162,often the nervous system collapses after that type of humiliation,after such humiliation the nervous system will collapse,0.8898478,0.906
163,dude you gotta hook me up with a new phone,man i need a new phone from you,0.7740828,0.906
164,it is not easy but it is well worth it,definately is not easy but is well worth it,0.9538778,0.906
165,raimond aumann was a german footballer ,raimond aumann is a former german football player ,0.7663413,0.906
166,north korea fires three shortrange missiles,n korea fires shortrange missiles,0.8944218,0.906
167,the answer is because you enjoy being in the presence of that person,the answer is bcuz you feel good having that person with you,0.866314,0.906
168,its funny and zany in a way that only terry pratchett can be,clever and wonderful as only terry pratchett can be,0.8302108,0.906
169,i like sinatra for classical performances and buble for revivals,sinatra for classics and buble for revivals,0.7912129,0.906
170,its like gross yet oddly delicious,its disgusting but at the same time weirdly tasty,0.79237163,0.906
171,you are aware of the curfew i presume,i assume you know about the curfew,0.9127361,0.906
172,the first time i gazed upon his green eyes,the first time i saw his green eyes,0.89783514,0.906
173,they are neither taxes nor public prices,it is not a tax or public price,0.8057842,0.906
174,i said okay you two take off,fine you two get out of here now i told them,0.8765187,0.906
175,during the hearing morales expressed sincere regrets and remorse for his actions,morales who pleaded guilty in july expressed sincere regret and remorse for his crimes,0.85765314,0.906
176,would you like to see a movie with me on friday,i was wondering if you wanted to go see a movie with me on friday,0.939828,0.906
177,sandro salvadore was an italian footballer ,sandro salvadore is a former italian football player ,0.81030375,0.906
178,the assembly set the end of its term for 29 september 1791 ,the national assembly decided that it would stop governing france on 29 september 1791 ,0.7640067,0.906
179,capital offenses in iran include murder rape armed robbery apostasy blasphemy serious drug trafficking repeated sodomy adultery prostitution treason and espionage,capital offenses in iran include murder rape armed robbery serious drug trafficking and adultery,0.93284696,0.906
180,adhesive tape can be one of many varieties of backing materials coated with an adhesive ,adhesive tape is a tape that is coated with adhesive and used to stick objects together ,0.87430704,0.906
181,it is also the subject of a documentary  satanis ,a whole documentary  satanis was also made about it in 1970 ,0.82427055,0.906
182,its a fiveyear lease 50 grand a month my name on it,we have a mortgage five more years 50000 a month,0.56676257,0.906
183,it does not matter whether the woman admits to liking you or not,it doesnt matter if the girl admits if she likes u or not,0.91190964,0.906
184,i cant wait to read the next one in the series,cant wait to read the next one,0.924921,0.906
185,i didnt even have a pet as a child,we didnt have an animal when i was a kid,0.74283695,0.906
186,the dose of these medicines may need to be adjusted by your doctor,your doctor may need to adjust your medication,0.8245541,0.906
187,i loved it and it was a really good movie,i loved it is was a realy good movie,0.9477951,0.906
188,a person folds a tortilla,a man folds a tortilla,0.93742704,0.906
189,you are too young to date or be in love,to young to date or be in love,0.9219148,0.906
190,why not stop talking and get a life,how about not talking and getting a life ,0.849721,0.906
191,at the 2006 census  eugowra had a population of 535 ,in 2006  535 people lived in eugowra ,0.53181195,0.906
192,a stronghold is a strongly fortified defensive structure ,stronghold means castle or any other strongly fortified place ,0.7227642,0.906
193,that is the key and the rest will follow,all the rest will follow soon,0.853851,0.906
194,all right ive got the talking pillow now,okay now i have a talking pillow,0.88586926,0.906
195,i can not see it myself but i have had quite a few people say it now,i cant see it myself but ive had quite a few people say it now,0.96384436,0.906
196,no i apologize all i know is that it was a good movie,no sry all i know was that it was a good movie,0.9550783,0.906
197,one important piece of advice do not have a friend do it,one thing dont have a friend do it,0.8782922,0.906
198,one is dead and the other is from a different time period,hmmmm ones dead and the others from a different time period,0.84543717,0.906
199,at the time  oakland seemed an unlikely venue for a professional football team ,oakland was a unlikely city to have a professional american football team ,0.8002535,0.906
200,you try to forget everything good and remember everything bad,you just try to forget everything good and remember everything bad,0.99646634,0.906
201,it is up to your boyfriend to tell her,your bf should be the on telling her,0.8416173,0.906
202,ill talk to the son of a foyle,i want to talk to this sonofafoyle,0.45366883,0.906
203,the orchestra s reputation increased most prominently during the music directorship of serge koussevitzky ,serge koussevitzky was their conductor for many years and made them a worldclass orchestra ,0.6925882,0.906
204,i definitely believe that there is a special someone for everyone,i think their is a special someone for everyone,0.93051934,0.906
205,born in vienna  schidlof fled austria for england following the nazi anschluss in 1938 ,schidlof was born in vienna  but had to leave austria when the nazis came ,0.772331,0.906
206,pachycephalosaurus is a genus of pachycephalosaurid dinosaur ,pachycephalosaurus was a member of the pachycephalosaurid family ,0.26816145,0.906
207,my number is lost may i have yours,lost my numbercan i get yours,0.86863345,0.906
208,its county seat is clarksdale ,it s capital is clarksdale ,0.47882918,0.906
209,i do not think it matters what your race is,i dont think it matters if your white black purple yellow etc,0.76638097,0.906
210,that is just as i should hope mr tulkinghorn,thats what im hoping for mr tulkinghorne,0.8189186,0.906
211,hes got the ball hes going on the run,he got the ball and hes running,0.93755716,0.906
212,a boy plays with a noodle by the pool,a boy plays with a foam noodle toy by a pool,0.87334645,0.906
213,this book could have been written better but its still nothing to complain about,so even though the book didnt really wow me i still enjoyed reading it,0.7622771,0.906
214,i suggest you watch all of it again,why dont you watch it all over again,0.8970419,0.906
215,lustig andrei so lyndon johnson and john kennedy were compatible,edgarblythe so lyndon johnson and john kennedy were compatible,1.0000001,0.906
216,the doctors got them back in their quarters already,the doctor had already sent them to his quarters,0.86935526,0.906
217,to borrow a phrase from holden caufield phonies,taking a word from holden caulfield herephonies,0.6005292,0.906
218,it becomes visible when it breathes fire,when hes spitting fire then you can see it,0.6811727,0.906
219,at the 2006 census  beveridge and the surrounding area had a population of 1192 ,in 2006 there were 1192 people living in beveridge and the local area ,0.7293897,0.906
220,i really dont know its a random guess,i dono jus a random guess,0.80861694,0.906
221,charlotte eagles is an american professional soccer team based in charlotte  north carolina  united states ,the charlotte eagles are a soccer club that plays in charlotte  north carolina ,0.88240695,0.906
222,the village suffered major congestion until the bypass was built in the 1960s ,in the 1960 s a bypass was built to go around the village ,0.83704704,0.906
223,so come to new york right away mark please do it for me,mark if you care about me a little come to new york,0.8976719,0.906
224,drusilla jane dj jaco is a deputy sentinel of new orleans,dj is employed as the deputy sentinel of new orleans,0.86811423,0.906
225,he leads the ranger team were sending in,hes leading the rangers team going there,0.707249,0.906
226,similar to how i alphabetize my cd collection certain things have to be done in a particular way,like i alphabetize my cd collection and certain things have to be just so,0.9413743,0.906
227,the only thing that you can tell by his looks is that he is hot amd that you want him,the only thing you can tell by looking at him is if hes hot and you want him,0.9584291,0.906
228,realdonaldtrump i hope and pray you get the nomination america needs a man with a backbone and one that cant be bought,realdonaldtrump stay the course you can win the usa needs your leadership and competence,0.75859106,0.906
229,he would have wanted you to have this honey,hed want you to have it darling,0.776883,0.906
230,but the prime minister told the bbc he wasnt bothered by polls and that he would continue to do what he believed to be right,he said he wasnt bothered by polls and that he would continue to do what he believed to be right in both foreign and domestic policy,0.92620444,0.906
231,give palmela and her five sisters a phone call,call up palmela and her five sisters,0.86325073,0.906
232,if you make her feel comfortable then she will like you,so u make her feel comfortable then she will like u,0.90531456,0.906
233,then you can call anywhere you want,then presto you can call anywhere you want,0.9699861,0.906
234,i think it is called after dark by tito and tarantula,i think it is after dark  tito  tarantula,0.97161704,0.906
235,be yourself show them you care for them,be yourself bro and show them you like and care for them,0.95570296,0.906
236,all in all this is a wonderful book,i found myself smiling through out the whole book and not many books can do that for me,0.77007455,0.906
237,the name was originally used in reference to pesos oro or pesos plata ,the name comes from the spanish words pesos oro or pesos plata ,0.8903651,0.906
238,just tell them you are sorry and leave with the other people,just say srry and go off with some other ppl,0.8329834,0.9
239,invite her to your home and watch a pornographic movie together,invite her over and pop in a porno,0.73262763,0.9
240,tomorrow night were actually seriously throwing a party if you wanna come,seriously were having a party tomorrow night,0.8192304,0.9
241,hey guys um theres pizza in there if you want some,if you want theres pizza inside,0.9067228,0.9
242,it is just not what i am interested in,its just not my cup of tea,0.59760916,0.875
243,to retrieve lines i suggest you go to wwwrapbattlescom,go to wwwrapbattlescom that is a good website to get lines,0.65252113,0.875
244,rachel on the other hand i dont know,on the other side im not so sure about rachel,0.8586625,0.875
245,people may engage in oral sex as part of foreplay before sexual intercourse  or during or following intercourse ,sometimes oral sex is performed as a way of getting ready for intercourse  but it may be done as an alternative to intercourse ,0.82238597,0.875
246,whos to say it could not be bought by someone else,who knows that someone else hasnt bought it,0.87344235,0.875
247,just say i just want to now do you like me as a friend or something more,just say i just want to nowdo u like me as a friend or something more,0.9751154,0.875
248,frank gardiner an australia bushranger of the 19th century ,frank gardiner was a famous australian bushranger ,0.7520799,0.875
249,hes had a heart attack fairly minor but a heart attack nevertheless,it was small but it was a heart attack,0.81088626,0.875
250,excuse me but perhaps you misunderstand me,im sorry but i dont think you understood me,0.78133893,0.875
251,the devils going to rip you a new lifestyle every time lol, the devils going to rip you a new lifestyle everytime,0.9483027,0.875
252,thats my two cents any way,but that is just my two cents,0.8938139,0.875
253,is your girlfriend there permanently,but is your girlfriend there to stay,0.8980866,0.875
254,noninferiority to sevelamer carbonate was determined at week 12,in week 12 noninferiority was found against sevelamercarbonate,0.74030435,0.875
255,there is nothing good about seeing people die,there is nothing cool in seeing people dying,0.90941566,0.875
256,the population was 641 at the 2000 census ,in 2000  641 lived there ,0.4643142,0.875
257,that does not sound to me like what she would do if she had utterly deserted me,i dont think thats what shed do if she wanted to leave me altogether,0.8206449,0.875
258,how should i get recognized,how the heck should i get recognized,0.9522199,0.875
259,andrea is independently wealthy due to a fat divorce settlement,after the divorce settlement andrea is independent and rich,0.85662913,0.875
260,additionally be sure not to apply it too heavily that is where many people make an error  by adding too much yeast,oh and dont absolutely slather it onthats where lots of people make their mistaketoo much yeast,0.73187166,0.875
261,a small white dog climbs over a log,a small dog steps onto a log,0.7592683,0.875
262,i recommend that you and three friends who are women book an online cruise because you will enjoy it,so go get 3 of your best gal pals get on line and book a cruiseyou will love it,0.7923387,0.875
263,suddenly the interference eased off and a voice could be heard above the noise,all of a sudden the noise dropped and everyone heard a human voice,0.7912256,0.875
264,he is a multiinstrumentalist and plays bass  guitar  keyboards  and sings ,he can play bass  guitar  keyboards  and can sing ,0.90048647,0.875
265,the united states government and other nato members have refused to ratify the amended treaty until officials in moscow withdraw troops from the former soviet republics of moldova and georgia,the united states and other nato members have refused ratify the amended treaty until russia completely withdraws from moldova and georgia,0.9259005,0.875
266,december to dismember was a professional wrestling event that took place on december 9  1995 at the ecw arena in philadelphia  pennsylvania ,december to dismember was a professional wrestling event first held by the original extreme championship wrestling in 1995 as a nontelevised supercard ,0.77133185,0.875
267,it suddenly hit me just how wrong this was,i was suddenly thinking how bad it was,0.8719715,0.875
268,however that had already been said,but that had already been said,0.979706,0.875
269,this format was adopted by european circuses at the turn of the 20th century ,during most of the 20th century this is what circuses were mostly like ,0.7747719,0.875
270,since 2003  red hat has discontinued the red hat linux line in favor of red hat enterprise linux for enterprise environments ,red hat then decided to discontinue a future release of red hat linux and started the paid red hat enterprise linux instead ,0.90433,0.875
271,and now that youre together its just so great,its great that you guys are together,0.8918345,0.875
272,though at 300 an hourthey dont come cheap,they pay them 300 bucks an hour theyre not the cheapest,0.7360152,0.875
273,a boarding school is when the pupils sleep  eat and work in or near the school grounds ,a boarding school is a school where the students live and sleep at the school while going to their classes ,0.9102234,0.875
274,a woman is eating fish at a restaurant,a woman eating a large fish in a restaurant,0.92334795,0.875
275,glove box is the first place they check,they look in the glove compartment first,0.78884,0.875
276,similarly  katakana is usually used for country names  foreign places  and personal names ,katakana is used to write words which have been borrowed from other languages  or to write foreign names and names of countries ,0.8347475,0.875
277,it was something my husband and i talked about,we have often talked about such things with my husband,0.8399299,0.875
278,putin stated that the russian government could withdraw from the treaty altogether if western nations refuse to ratify the amended treaty,putin stated that russia could discard the treaty entirely if western nations refuse to ratify its amended version,0.9349612,0.875
279,a strut bar is designed to reduce this strut tower flex by tying two parallel strut towers together ,a strut bar or strut brace is to prevent body roll by bracing the top of the strut towers together ,0.86315143,0.875
280,trayvon could have been me,trayvon martin could have been ,0.76704437,0.875
281,we are not boring trust me,  were not boringtrust me,0.81408966,0.875
282,the wyngari are suffering a food shortage on their world,the wyngar world is suffering from a lack of food,0.8359798,0.875
283,perdita is an inner satellite of uranus ,perdita is a closer moon to uranus ,0.46220684,0.875
284,belinda is an inner satellite of the planet uranus ,belinda is a closer moon to uranus ,0.5646496,0.875
285,it was a good story,i thought it was a good story,0.89675075,0.875
286,allsvenskan is the highest league in the league system of swedish football ,allsvenskan is a football league which is top division in sweden ,0.8597143,0.875
287,the buzz on maggie is the second disney channel original series to be canceled after one season ,the buzz on maggie is a disney channel television series about a fly named maggie ,0.8177681,0.875
288,its just my friend brit and i have this highly competitive relationship,jen ive got a very competitive relationship with my friend brit,0.8622041,0.875
289,the movie that i saw earlier is quiet weird at first but then it got funnier toward the middle,i just saw that movie today is kinda weir at first than it gets funny towards the middle,0.923355,0.875
290,i am making a big personal sacrifice to give you this information,by giving you the information im taking a considerable personal sacrifice,0.8538052,0.875
291,mall attackers used less is more strategy,in kenya attackers used less is more strategy,0.8590024,0.875
292,stocks close 039 higher,stocks close 247 higher,1.0000001,0.875
293,for more details please refer to the guidelines for applicants,further details can be found in the guidance for the applicant,0.77635074,0.875
