index,sentence_1,sentence_2,calculated_similarity,actual_similarity
109,Keifer performed well as Jack Bauer.,"Yeah, Keifer does a great job as Jack Bauer!!",0.99852145,0.938
110,"By 1850 , Strauss was calling himself Levi .",By 1850 he had adopted the name `` Levi Strauss '' .,0.9988964,0.938
111,Take him aside and tell him how you truly feel.,take him aside and tell him how u truly feel,0.99884254,0.938
112,Fred Hoyle is credited with coining the term Big Bang during a 1949 radio broadcast .,Fred Hoyle called the theory the `` Big Bang '' on his radio show .,0.99843836,0.938
113,Snowden sees 'no chance' for US fair trial,"Snowden sees ""no chance"" to get fair trial in U.S.",0.99827814,0.938
114,I believe it could have been more dramatic.,I think it could have been more dramatic!,0.9997207,0.938
115,"A minimum wage is the lowest hourly , daily or monthly wage that employers may legally pay to employees or workers .",The minimum wage is the least amount of money that employees of a business can be paid .,0.9990806,0.938
116,I'm black and found it funny.,I'm black and found it hilariously funny!!!,0.99972904,0.938
117,"Artists ' brushes are usually given numbered sizes , although there is no exact standard for their physical dimensions .","Artists ' brushes usually have sizes with numbers , but there is no standard .",0.9997653,0.938
118,"I don't know, sorry but she has got a great voice and my favorite song by her is Breakaway.",i dunno sorry but she has got a great voice and my favorite song by her is breakaway,0.99557215,0.938
119,Federer Wins 7th Wimbledon Title,Federer captures 7th Wimbledon title,0.99851805,0.938
120,You ought to begin your life anew.,you should start your life a new.,0.9978937,0.938
121,"At the 2006 census , Euroa had a population of 2,776 .","In 2006 there were 2,776 people living in the town .",0.99724925,0.938
122,I had a lot of help from Jack Daniels.,Jack Daniels helped me a lot.,0.99898064,0.938
123,How can I go about winning her back?,How do i win her back?,0.9929113,0.938
124,The implementation of the Directive's provisions on sanctions against employers needs to be supported and monitored.,"it will need to monitor and control the implementation of the Directive, which sets out penalties for employers.",0.9992652,0.938
125,Denkova & Staviski are the first Bulgarian figure skaters to medal at the World Figure Skating Championships .,"Denkova and Staviski are the first Bulgarian skaters to win Worlds , which they did in 2006 and 2007 .",0.9986161,0.938
126,Xenon is the only element which has nine stable isotopes .,"For example , xenon has 9 isotopes .",0.99796796,0.938
127,Seeing you is gonna make your grandmother very happy.,grandma will be happy to see you.,0.9992284,0.938
128,People like and desire the unattainable.,People like and want what they can't have.,0.9971111,0.938
129,"Matthew McConaughey, and I am not even gay.",matthew mcchanughey.. and i aint even gay!,0.9956484,0.938
130,This year's search for bodies has produced twenty bodies.,twenty bodies have been found this year.,0.9985486,0.938
131,I have no clue as to why people are giving rude answers.,i don't know why all the people keep giving rude answers.,0.9994874,0.938
132,A gas station that costs$ 2.52 and nine-tenths a gallon.,A gas station name m&h with gas the price of$ 2.52.,0.9992389,0.933
133,Michelle Obama To Star In Parks And Recreation,Michelle Obama to appear on 'Parks and Recreation',0.995321,0.933
134,"I'm not accusing him of being anything but shrewd and ambitious, after all.","after all, I blame him nothing more than cunning and ambition.",0.9986929,0.933
135,"The Asiatic Salamanders are primitive salamanders found all over Asia , and in European Russia .",The Asiatic Salamanders are a primitive kind of salamanders that can be found throughout Asia .,0.99948066,0.906
136,Wedding Crashers and the 40 year old virgin.,Wedding Crashers and 40 Year-Old Virgin.,0.99877626,0.906
137,"You are the brother of Ragnar Lothbrok, are you not?","you're Ragnar Lothbrok's brother, aren't you?",0.9966376,0.906
138,"To answer your question, any big city. Just ask a cab driver.","To answer your question, any big city.................just ask a cab driver.",0.99842525,0.906
139,"We're already two million, two over the original budget.",we have exceeded the original budget by 2.2 million.,0.99898696,0.906
140,I would like to hear your side of the story.,i want to hear ur side,0.998546,0.906
141,I wanted to see how people would react.,in because i wanted to see how people would react.,0.9974005,0.906
142,"If you do not, there is a reason why you do no.","If you don't, is there a reason you don't.",0.9904348,0.906
143,People always want things that they cannot obtain.,People always want what they can't have.,0.9997185,0.906
144,"Just looking at those pictures, it's got to be rough.",it must have been hard to examine the pictures.,0.9989548,0.906
145,US believes Syrian government used chemical weapons,US suspects Syria used chemical weapons,0.9993459,0.906
146,To get over to the other side.,To get to the toher side,0.99886006,0.906
147,"Track fault disrupts train service between Raffles Place, Marina Bay",Train service disrupted between Raffles Place and Marina Bay,0.9982612,0.906
148,I do not know anything about her father,I dont know about her father.,0.9948498,0.906
149,Hamming can detect and correct single-bit errors and also can detect double-bit errors .,"With hamming codes it is possible to correct one-bit errors , and to detect two-bit errors .",0.999372,0.906
150,"Living On A Prayer."" Bon Jovi",Livin On A Prayer Bon Jovi,0.99897873,0.906
151,A swimmer is doing the backstroke in the swimming pool.,a person doing the back stroke in a swimming pool,0.99938023,0.906
152,"Ew, Bridgette's drinking from the milk carton.",phew Bridgette drinks milk right out of the box.,0.99905556,0.906
153,I'm looking forward to reading the rest of the series.,I look forward to reading the rest in this series.,0.99984074,0.906
154,"Using the ""Just Say No"" motto depends on the circumstances.",Just say No Depends what you're saying no to.,0.9987251,0.906
155,This book was a lot of fun.,** spoiler alert ** This was a really fun book.,0.9964106,0.906
156,I had a nervous stomach because he frightened me.,I had butterflies in my stomach b/c he scared me.,0.99743474,0.906
157,I think you need to wait until you become mature enough to handle this situation.,"If you can't handle it, wait until you are mature enough.",0.999678,0.906
158,This shall also include a management plan for the sewage sludge.,the waste sludge management plan is also included.,0.99865395,0.906
159,"Around 12 AM , the plant released methyl isocyanate gas and other toxins , resulting in the exposure of over 500,000 people .","On 3 December 1984 , the plant released 42 tonnes of toxic methyl isocyanate gas , exposing more than 500,000 people to toxic gases .",0.99954957,0.906
160,You need to get an agent and make sure you get paid before paying anyone else.,Get an agent...and don't pay anyone until you get paid.,0.99776685,0.906
161,If you know the third 1/18; please share it with me!,"if you know the third 1/18, PLEASE share with me!!!",0.9997456,0.906
162,"Often, the nervous system collapses after that type of humiliation.","after such humiliation, the nervous system will collapse.",0.99911577,0.906
163,"Dude, you gotta hook me up with a new phone.","man, I need a new phone from you.",0.99957186,0.906
164,"It is not easy, but it is well worth it.","Definately is not easy, but is well worth it!",0.9988221,0.906
165,Raimond Aumann was a German footballer .,Raimond Aumann is a former German football player .,0.9998237,0.906
166,North Korea fires three short-range missiles,N. Korea fires short-range missiles,0.9985337,0.906
167,The answer is because you enjoy being in the presence of that person.,THE ANSWER IS B'CUZ YOU FEEL GOOD HAVING THAT PERSON WITH YOU.,0.9727143,0.906
168,It's funny and zany in a way that only Terry Pratchett can be.,"Clever and wonderful, as only Terry Pratchett can be.",0.9990884,0.906
169,I like Sinatra for classical performances and Buble for revivals.,Sinatra for classics and Buble for revivals...,0.9991058,0.906
170,"It's like, gross, yet oddly delicious.","it's disgusting, but at the same time, weirdly tasty.",0.9980279,0.906
171,"You are aware of the curfew, I presume.",I assume you know about the curfew.,0.9991552,0.906
172,The first time I gazed upon his green eyes!,the first time I saw his green eyes!,0.99935853,0.906
173,They are neither taxes nor public prices.,it is not a tax or public price.,0.9966387,0.906
174,"I said, ""Okay, you two, take off.","fine, you two get out of here now,"" I told them.",0.9962912,0.906
175,"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.",0.999768,0.906
176,Would you like to see a movie with me on Friday?,i was wondering if you wanted to go see a movie with me on friday?,0.9995543,0.906
177,Sandro Salvadore was an Italian footballer .,Sandro Salvadore is a former Italian football player .,0.9994005,0.906
178,The Assembly set the end of its term for 29 September 1791 .,The National Assembly decided that it would stop governing France on 29 September 1791 .,0.9977119,0.906
179,"capital offenses in iran include murder, rape, armed robbery, apostasy, blasphemy, serious drug trafficking, repeated sodomy, adultery, prostitution, treason and espionage.","capital offenses in iran include murder, rape, armed robbery, serious drug trafficking and adultery.",0.99950975,0.906
180,Adhesive tape can be one of many varieties of backing materials coated with an adhesive .,Adhesive tape is a tape that is coated with adhesive and used to stick objects together .,0.9990109,0.906
181,"It is also the subject of a documentary , Satanis .","A whole documentary , Satanis was also made about it in 1970 .",0.99912834,0.906
182,"It's a five-year lease, 50 grand a month... ....my name on it.","we have a mortgage, five more years... 50,000 a month.",0.99788857,0.906
183,It does not matter whether the woman admits to liking you or not.,It doesnt matter if the girl admits if she likes u or not.,0.9957202,0.906
184,I can't wait to read the next one in the series.,Can't wait to read the next one.,0.9998011,0.906
185,I didn't even have a pet as a child.,we didn't have an animal when I was a kid.,0.99920243,0.906
186,The dose of these medicines may need to be adjusted by your doctor.,your doctor may need to adjust your medication.,0.99916744,0.906
187,I loved it and it was a really good movie.,i loved it is was a realy good movie.,0.9942464,0.906
188,A person folds a tortilla.,A man folds a tortilla.,0.99941146,0.906
189,You are too young to date or be in love.,To young to date or be in love!,0.99204683,0.906
190,Why not stop talking and get a life.,How about not talking and getting a life !,0.99908125,0.906
191,"At the 2006 census , Eugowra had a population of 535 .","In 2006 , 535 people lived in Eugowra .",0.99676234,0.906
192,A stronghold is a strongly fortified defensive structure .,Stronghold means castle or any other strongly fortified place .,0.9981334,0.906
193,"That is the key, and the rest will follow.",all the rest will follow soon.,0.99500465,0.906
194,"All right, I've got the talking pillow now.","okay, now I have a talking pillow.",0.9988798,0.906
195,"I can not see it myself, but I have had quite a few people say it now.",I can't see it myself but i've had quite a few people say it now.,0.99964046,0.906
196,"No, I apologize; all I know is that it was a good movie.","no, sry, all i know was that it was a good movie",0.9950669,0.906
197,One important piece of advice: do not have a friend do it.,"One thing, don't have a friend do it.",0.99634635,0.906
198,One is dead and the other is from a different time period.,hmmmm ones dead and the others from a different time period?,0.99739575,0.906
199,"At the time , Oakland seemed an unlikely venue for a professional football team .",Oakland was a unlikely city to have a professional American football team .,0.99837345,0.906
200,"You try to forget everything good, and remember everything bad.","you just try to forget everything good, and remember everything bad.",0.99977577,0.906
201,It is up to your boyfriend to tell her.,Your bf should be the on telling her.,0.9937508,0.906
202,I'll talk to the son of a- Foyle!,I want to talk to this son-of-a-Foyle!,0.99425495,0.906
203,The orchestra 's reputation increased most prominently during the music directorship of Serge Koussevitzky .,Serge Koussevitzky was their conductor for many years and made them a world-class orchestra .,0.9994032,0.906
204,I definitely believe that there is a 'special someone' for everyone!,I think their is a 'special someone' for everyone!,0.99783736,0.906
205,"Born in Vienna , Schidlof fled Austria for England following the Nazi Anschluss in 1938 .","Schidlof was born in Vienna , but had to leave Austria when the Nazis came .",0.99619627,0.906
206,Pachycephalosaurus is a genus of pachycephalosaurid dinosaur .,Pachycephalosaurus was a member of the Pachycephalosaurid family .,0.9991584,0.906
207,My number is lost. May I have yours?,"lost my number,can i get yours!",0.99609196,0.906
208,Its county seat is Clarksdale .,It 's capital is Clarksdale .,0.9986516,0.906
209,I do not think it matters what your race is.,"i dont think it matters if your white, black, purple, yellow, etc.",0.98989433,0.906
210,"That is just as I should hope, Mr Tulkinghorn.","that's what I'm hoping for, Mr. Tulkinghorne.",0.99951446,0.906
211,He's got the ball. He's going on the run.,he got the ball and he's running.,0.99819624,0.906
212,a boy plays with a noodle by the pool.,A boy plays with a foam noodle toy by a pool.,0.99957913,0.906
213,"This book could have been written better, but it's still nothing to complain about.","So even though the book didn't really ""wow"" me, I still enjoyed reading it.",0.99812317,0.906
214,I suggest you watch all of it again.,why don't you watch it all over again.,0.99684286,0.906
215,"@Lustig Andrei, So Lyndon Johnson and John Kennedy were compatible?","@edgarblythe, So Lyndon Johnson and John Kennedy were compatible?",0.99874365,0.906
216,The Doctor's got them back in their quarters already.,the doctor had already sent them to his quarters.,0.99894166,0.906
217,"To borrow a phrase from Holden Caufield, ""phonies"".",Taking a word from Holden Caulfield here...Phonies,0.9981637,0.906
218,It becomes visible when it breathes fire.,"when he's spitting fire, then you can see it.",0.99775416,0.906
219,"At the 2006 census , Beveridge and the surrounding area had a population of 1,192 .","In 2006 there were 1,192 people living in Beveridge and the local area .",0.998628,0.906
220,I really don't know; it's a random guess.,i dono jus a random guess,0.9750347,0.906
221,"Charlotte Eagles is an American professional soccer team based in Charlotte , North Carolina , United States .","The Charlotte Eagles are a soccer club that plays in Charlotte , North Carolina .",0.9983622,0.906
222,The village suffered major congestion until the bypass was built in the 1960s .,In the 1960 's a bypass was built to go around the village .,0.99709237,0.906
223,"So come to New York right away, Mark. Please, do it for me.","Mark, if you care about me a little, come to New York.",0.99909425,0.906
224,"Drusilla Jane ""DJ"" Jaco is a deputy sentinel of New Orleans.",DJ is employed as the deputy sentinel of New Orleans.,0.9958224,0.906
225,He leads the Ranger team we're sending in.,he's leading the Rangers team going there.,0.9990221,0.906
226,"Similar to how I alphabetize my CD collection, certain things have to be done in a particular way.",Like I alphabetize my CD collection and certain things have to be just so.,0.9988443,0.906
227,"The only thing that you can tell by his looks, is that he is hot amd that you want him!",the only thing you can tell by looking at him is if hes hot and you want him!!!!,0.9995067,0.906
228,@realDonaldTrump I hope and pray you get the nomination. America needs a man with a backbone! And one that can't be bought!,@realDonaldTrump Stay the course! You can win! The USA needs your leadership and competence!,0.99800783,0.906
229,"He would have wanted you to have this, honey.","he'd want you to have it, darling.",0.99905735,0.906
230,But the prime minister told the BBC he wasn't bothered by polls and that he would continue to do what he believed to be right.,"He said he wasn't bothered by polls and that he would continue to do what he believed to be right, in both foreign and domestic policy.",0.99959284,0.906
231,Give Palmela and her five sisters a phone call.,Call up Palmela and her five sisters.,0.99937934,0.906
232,"If you make her feel comfortable, then she will like you.",So u make her feel comfortable then she will like u.,0.99027485,0.906
233,Then you can call anywhere you want.,then presto you can call anywhere you want.,0.9973422,0.906
234,I think it is called After Dark by Tito and Tarantula.,I think it is After Dark - Tito & Tarantula.,0.99954,0.906
235,"Be yourself, show them you care for them.",be yourself bro and show them you like and care for them.,0.9996726,0.906
236,All in all this is a wonderful book.,"I found myself smiling through out the whole book, and not many books can do that for me.",0.9986273,0.906
237,The name was originally used in reference to pesos oro or pesos plata .,The name comes from the spanish words pesos oro or pesos plata .,0.99593484,0.906
238,Just tell them you are sorry and leave with the other people.,just say srry and go off with some other ppl.,0.9904164,0.9
239,Invite her to your home and watch a pornographic movie together.,invite her over and pop in a porno,0.9970105,0.9
240,"Tomorrow night, we're actually, seriously, throwing a party, if you wanna come.","seriously, we're having a party tomorrow night.",0.99907565,0.9
241,"Hey, guys, um, there's pizza in there if you want some.","if you want, there's pizza inside.",0.99863774,0.9
242,It is just not what I am interested in.,it's just not my cup of tea,0.99802387,0.875
243,"To retrieve lines, I suggest you go to www.rapbattles.com.",go to www.rapbattles.com that is a good website to get lines,0.99793625,0.875
244,"Rachel, on the other hand... I don't know.","on the other side, I'm not so sure about Rachel.",0.9949158,0.875
245,"People may engage in oral sex as part of foreplay before sexual intercourse , or during or following intercourse .","Sometimes oral sex is performed as a way of getting ready for intercourse , but it may be done as an alternative to intercourse .",0.9980146,0.875
246,Who's to say it could not be bought by someone else?,who knows that someone else hasn't bought it?,0.99411434,0.875
247,"Just say, ""I just want to now! Do you like me as a friend, or something more?",just say i just want to now!Do u like me as a friend or something more?,0.9961557,0.875
248,Frank Gardiner An Australia bushranger of the 19th century .,Frank Gardiner was a famous Australian bushranger .,0.99793845,0.875
249,"He's had a heart attack... fairly minor, but a heart attack nevertheless.","it was small, but it was a heart attack.",0.9994508,0.875
250,"Excuse me, but perhaps you misunderstand me.","I'm sorry, but I don't think you understood me.",0.99608123,0.875
251,"The devil's going to rip you a new lifestyle every time, lol.",":) The devil's going to rip you a new lifestyle, everytime.",0.99974483,0.875
252,that's my two cents any way.,But that is just my two cents!,0.9980775,0.875
253,Is your girlfriend there permanently?,But is your girlfriend there to stay?,0.9987895,0.875
254,Non-inferiority to sevelamer carbonate was determined at week 12.,"in week 12, non-inferiority was found against sevelamer-carbonate.",0.99949235,0.875
255,There is nothing good about seeing people die.,there is nothing cool in seeing people dying.,0.9987222,0.875
256,The population was 641 at the 2000 census .,"In 2000 , 641 lived there .",0.9947702,0.875
257,That does not sound to me like what she would do if she had utterly deserted me.,I don't think that's what she'd do if she wanted to leave me altogether.,0.99788296,0.875
258,How should I get recognized?,how the heck should i get recognized?,0.99677956,0.875
259,Andrea is independently wealthy due to a fat divorce settlement.,"after the divorce settlement, Andrea is independent and rich.",0.99925923,0.875
260,"Additionally, be sure not to apply it too heavily. That is where many people make an error - by adding too much yeast.","Oh, and don't absolutely slather it on...thats where lots of people make their mistake...too much yeast!",0.9985226,0.875
261,A small white dog climbs over a log.,a small dog steps onto a log.,0.99970436,0.875
262,"I recommend that you and three friends who are women book an on-line cruise, because you will enjoy it.",So go get 3 of your best gal pals get on line and book a cruise...you will love it!,0.9954053,0.875
263,"Suddenly, the interference eased off, and a voice could be heard above the noise.","all of a sudden the noise dropped, and everyone heard a human voice.",0.9994917,0.875
264,"He is a multi-instrumentalist and plays bass , guitar , keyboards , and sings .","He can play bass , guitar , keyboards , and can sing .",0.9986979,0.875
265,the united states government and other nato members have refused to ratify the amended treaty until officials in moscow withdraw troops from the former soviet republics of moldova and georgia.,the united states and other nato members have refused ratify the amended treaty until russia completely withdraws from moldova and georgia.,0.999682,0.875
