text,label
what was banksy the star and director doing before he created this film,"O,O,B-Director,O,O,O,O,O,O,O,O,O,O"
john travolta had that one scene where he had to jam the saving rod into a woman s chest,"B-Actor,I-Actor,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
what is the 1959 american thriller film directed by alfred hitchcock and starring cary grant and eva marie saint,"O,O,O,B-Year,B-Genre,I-Genre,O,O,O,B-Director,I-Director,O,O,B-Actor,I-Actor,O,B-Actor,I-Actor,I-Actor"
i m thinking of an 80 s comedy film that stars dustin hoffman and terri garr where hoffman s character dresses up as a woman to land a job,"O,O,O,O,O,B-Year,I-Year,B-Genre,I-Genre,O,O,B-Actor,I-Actor,O,B-Actor,I-Actor,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what movie is about a teenage boy getting bit by a radioactive arachnid and gaining super powers,"O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
i am thinking of a blockbuster science fiction film that stars will smith and tommy lee jones as undercover agents who fight intergalactic beings,"O,O,O,O,O,B-Opinion,B-Genre,I-Genre,O,O,O,B-Actor,I-Actor,O,B-Actor,I-Actor,I-Actor,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
i am thinking of a film in which a little girl s house accidentally lands on top of a witch and the witches sister vows revenge,"O,O,O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what baseball film starring dennis quaid is based on the true story of pitcher jim morris,"O,B-Genre,I-Genre,O,B-Actor,I-Actor,O,B-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin"
a 1939 movie adaptation of 1000 plus page book starring clark gable and vivien leigh,"O,B-Year,O,O,O,O,O,O,O,O,B-Actor,I-Actor,O,B-Actor,I-Actor"
what movie was inspired by a very famous song by the beatles and written by paul mccartney,"O,O,O,O,O,O,O,B-Soundtrack,I-Soundtrack,I-Soundtrack,I-Soundtrack,I-Soundtrack,B-Origin,I-Origin,I-Origin,I-Origin,I-Origin"
i m thinking of a movie where the wimpy main character befriends a fierce animal to the dismay of his viking community,"O,O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what film did billy bob thornton win an oscar for writing,"O,O,O,B-Actor,I-Actor,I-Actor,O,O,B-Award,I-Award,I-Award"
what 1979 musical is loosely based on the life and career of the film s director bob fosse,"O,B-Year,B-Genre,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,B-Director,I-Director"
while shooting this pivotal counterculture film paul newman was said to have eaten over fifty boiled eggs in a single afternoon,"O,O,O,B-Opinion,B-Genre,O,B-Actor,I-Actor,O,O,O,O,O,O,O,O,O,O,O,O,O"
what 2012 movie revived the american pie chain by bringing back jason biggs alyson hannigan and most of the rest of the cast from the original film,"O,B-Year,O,O,O,B-Relationship,I-Relationship,I-Relationship,O,O,O,B-Actor,I-Actor,I-Actor,I-Actor,O,O,O,O,O,O,O,O,O,O,O,O"
based on a graphic novel this film stars actor mickey rourke and features others such as jessica alba carla gugino bruce willis and tobey maguire,"O,O,O,B-Genre,I-Genre,O,O,O,O,B-Actor,I-Actor,O,O,O,O,O,B-Actor,I-Actor,I-Actor,I-Actor,I-Actor,I-Actor,I-Actor,I-Actor,I-Actor"
what 2000 movie is the story of two warriors chasing down a stolen sword run into a skilled nobleman s daughter,"O,B-Year,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
i m thinking of a movie with leo dicaprio in which he enters the human mind through their dreams,"O,O,O,O,O,O,O,B-Actor,I-Actor,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
a young girl lets three strangers escort her to see a strange gentleman that is fond of magic tricks,"B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
released in 1967 this film featured a major cast of stars portraying a group of enlisted convicts in wwii led by lee marvin,"O,O,B-Year,O,O,O,O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,B-Actor,I-Actor"
i am thinking of the award winning steven spielberg film that stars tom hanks as an army captain on a mission to rescue the sole survivor of four enlisted brothers after the invasion of normandy,"O,O,O,O,O,O,O,B-Director,I-Director,O,O,O,B-Actor,I-Actor,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the movie about luke skywalker breaking free from his aunt and uncle to rescue princess leia,"O,O,O,O,O,B-Character_Name,I-Character_Name,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,B-Character_Name,I-Character_Name"
what is the film based off the children s rhyme about the couple who go over the hill,"O,O,O,O,O,O,O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is that film starring julia roberts who plays a middle aged woman who decides to embark on an adventure and goes to bali,"O,O,O,O,O,B-Actor,I-Actor,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
im thinking of a movie where a manhattan couple are suddenly dealing with the issue of employment and move to a community where free love rules,"O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
fuck you thunder your just gods farts,"O,O,O,O,O,O,O"
which film is about a group of seemingly unrelated characters being isolated and tortured by the villain jigsaw,"O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,B-Character_Name"
what is the name of the animated film based on a clown fish who has lost his son,"O,O,O,O,O,O,B-Genre,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
i am thinking of the film adaptation of the fannie flagg novel that stars jessica tandy and kathy bates and tells the tale of a strong bond between two depression era women,"O,O,O,O,O,O,O,O,O,B-Origin,I-Origin,I-Origin,O,O,B-Actor,I-Actor,O,B-Actor,I-Actor,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
i want to see that movie with jonah hill who has to bring an alcoholic english rockstar playboy nuisance to his destination before a set time,"O,O,O,O,O,O,O,B-Actor,I-Actor,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what movie features psychopath norman bates and the most famous shower scene in cinematic history,"O,O,O,O,B-Character_Name,I-Character_Name,O,O,O,B-Opinion,I-Opinion,I-Opinion,I-Opinion,I-Opinion,I-Opinion"
this movie is about a street urchin accidentally meets princess jasmine who is in the city undercover they love each other but she can only marry a prince,"O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,B-Character_Name,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what s the movie where the myth of gangster keiser soze is recounted from different perspectives,"O,O,O,O,O,O,B-Genre,O,O,B-Character_Name,I-Character_Name,O,B-Plot,O,O,B-Plot"
what is the name of the movie where jeremy renner plays the sergeant of an army bomb squad unit during the iraq war,"O,O,O,O,O,O,O,O,B-Actor,I-Actor,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is this 1972 iconic american epic crime film about a man who has an offer you ca n t refuse,"O,O,O,B-Year,O,B-Genre,B-Opinion,B-Genre,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
i am thinking of a film that was based on a classic literary novel written by emily bronte about a boy named heathcliff,"O,O,O,O,O,O,O,O,O,O,O,B-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,B-Plot,I-Plot,I-Plot,I-Plot,B-Character_Name"
this gene kelly classic has three friends struggling to find work in paris things become more complicated when two of them fall in love with the same woman,"O,B-Actor,I-Actor,B-Opinion,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
in this 2012 movie chris pine and tom hardy are cia agents fighting each other over a girl,"O,O,B-Year,O,B-Actor,I-Actor,O,B-Actor,I-Actor,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the movie that s based on a man who goes on adventures and meets both giants and very small people,"O,O,O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
which of these movies came out in 2010 and starred jake gyllenhaal in a pg 13 disney movie,"O,O,O,O,O,O,O,B-Year,O,O,B-Actor,I-Actor,O,O,B-Director,I-Director,B-Genre,O"
what is the movie where an unappreciated villain in a video games leaves his game and enters others,"O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what movie about a rambunctious rock star was a spin off to the comedy forgetting sarah marshall,"O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,B-Relationship,I-Relationship,I-Relationship,I-Relationship,I-Relationship,I-Relationship,I-Relationship,I-Relationship"
what is the movie directed by quentin tarantino about a jewelry heist that goes wrong,"O,O,O,O,O,O,B-Director,I-Director,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
i m thinking of the epic movie based on the book by j r r tolkien featuring hobbits wizards elves and a dark magic,"O,O,O,O,O,O,O,B-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
a suspense horror film which has a mind blowing character who is portrait as mentally ill,"O,B-Genre,I-Genre,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
this movie s retelling of the classic fairytale does n t have the princess falling in love with the prince at the end,"O,O,O,B-Origin,I-Origin,I-Origin,I-Origin,I-Origin,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
this 1982 film which also starred james earl jones as thulsa doom was the first box office success for austrian bodybuilder arnold schwarzenegger,"O,B-Year,O,O,O,O,B-Actor,I-Actor,I-Actor,O,B-Character_Name,I-Character_Name,O,O,B-Opinion,I-Opinion,I-Opinion,I-Opinion,O,O,O,B-Actor,I-Actor"
what war was taking place during the movie,"O,O,O,O,O,O,O,O"
this classic horror movie involves a young priest and an old priest removing a demon spirit from a little girl,"O,B-Genre,I-Genre,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
this in theater experience features the equally loved and hated pop icon from canada who some say looks like ellen degeneres,"O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what gangster film starring tom hanks and filmed in and around chicago is based on an acclaimed graphic novel,"O,B-Genre,O,O,B-Actor,I-Actor,O,O,O,O,O,O,O,B-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin"
what is the movie with leonardo dicaprio that he goes into other people s dreams and tries to fix things,"O,O,O,O,O,B-Actor,I-Actor,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
which movie that came out in 1995 features detectives following a serial killer who showcases dante s deadly sins,"O,O,O,O,O,O,B-Year,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the 2011 stoner comedy that is the latest instalment in a series that follows john cho and kal penn as they set out on a quest to find the perfect christmas tree,"O,O,O,B-Year,O,B-Genre,O,O,O,B-Relationship,I-Relationship,O,O,O,O,O,B-Character_Name,I-Character_Name,O,B-Character_Name,I-Character_Name,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what s that scary movie about a serial killer who returns to a small town to kill everyone born on the day he supposedly died,"O,O,O,B-Genre,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the sequel to the 1987 film about a stock broker seeking to restore his empire,"O,O,O,B-Relationship,O,O,B-Year,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
i am thinking of a film about a manufacturer who initially inadvertently saves thousands of jews from certain death during the holocaust,"O,O,O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the classic comedy about the old west that was written directed and starred mel brooks,"O,O,O,B-Genre,I-Genre,O,O,O,O,O,O,O,O,O,O,B-Actor,I-Actor"
what is the movie starring robert de niro about a boxer s life that was directed by martin scorsese,"O,O,O,O,O,B-Actor,I-Actor,I-Actor,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,O,O,O,B-Director,I-Director"
jeremy renner takes over for matt damon in the highly popular book and movie series about espionage in what movie,"B-Actor,I-Actor,O,O,O,B-Actor,I-Actor,O,O,B-Opinion,I-Opinion,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,O,O,O"
the trials and effects the civil war have on a rich southern family,"B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the 2010 american comedy film starring jonah hill and russell brand in which brand stars as the rocker aldous snow,"O,O,O,B-Year,B-Genre,I-Genre,O,O,B-Actor,I-Actor,O,B-Actor,I-Actor,O,O,O,O,O,O,O,B-Character_Name,I-Character_Name"
what s the teen comedy about a girl whose halloween night is ruined when her brother goes missing,"O,O,O,B-Genre,I-Genre,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
this martin scorsese film contains the classic moment of robert deniro looking in the mirror and asking you looking at me,"O,B-Director,I-Director,O,O,O,O,O,O,B-Actor,I-Actor,O,O,O,O,O,O,B-Quote,I-Quote,I-Quote,I-Quote"
this 2011 steve carell movie is about a guy who has n t dated in awhile learning how to pick up girls,"O,B-Year,B-Actor,I-Actor,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
which 1981 american cyberpunk action film directed by john carpenter stars kurt russell as snake plissken,"O,B-Year,B-Genre,I-Genre,I-Genre,O,O,O,B-Director,I-Director,O,B-Actor,I-Actor,O,B-Character_Name,I-Character_Name"
what is the 1988 movie starring bruce willis where he plays nypd officer john mcclane,"O,O,O,B-Year,O,O,B-Actor,I-Actor,O,O,O,B-Plot,I-Plot,B-Character_Name,I-Character_Name"
i am thinking about a classic film starring jimmy stewart as a wholesome young man who gets involved with corrupt politicians,"O,O,O,O,O,B-Genre,O,O,B-Actor,I-Actor,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
often referred to as a female companion piece to the hangover this movie stars a group of women competing to determine who is the maid of honor,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
one of the most famous glass trophy race winners in history is the star of this epic picture,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-Opinion,O"
colin firth won an academy award for best actor in this movie based on a historical drama,"B-Actor,I-Actor,O,O,B-Award,I-Award,O,B-Award,I-Award,O,O,O,O,O,O,B-Genre,I-Genre"
yasujiro ozu directs this spare emotionally devastating drama about a couple coming to visit their children in japan,"B-Director,I-Director,O,O,O,B-Opinion,I-Opinion,B-Genre,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
i m thinking of a 1948 film that stars judy garland and fred astaire as a dancing team who drift apart and find new partners,"O,O,O,O,O,B-Year,O,O,O,B-Actor,I-Actor,O,B-Actor,I-Actor,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
have you seen that movie about a small town that is exposed to a chemical spill essentially turning them into zombies,"O,O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what s the children s movie that features a family of four inch people living in a 14 year old boy s home,"O,O,O,B-Genre,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the movie where a boy and a tiger get shipwrecked and are stranded on a boat,"O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the movie that models hamlet through a family of lions in the african sahara made by disney,"O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,B-Origin,I-Origin,I-Origin"
this movie tells the true story of a soft spoken writer as he completes what many consider to be his greatest work another title for this movie might be in cold blood the name of the book the author in the movie is completing what is the name of this film,"O,O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
i am thinking of the 90 s era chase movie that blew up the careers of both keanu reeves and sandra bullock,"O,O,O,O,O,B-Year,I-Year,I-Year,O,O,O,O,O,O,O,O,O,B-Actor,I-Actor,O,B-Actor,I-Actor"
what is the movie about a reindeer at the north pole who gets teased because of the color of his nose,"O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what humphrey bogart film considered by many to be the best film ever made introduced us to the phrase here s looking at you kid,"O,B-Actor,I-Actor,O,O,O,O,O,O,O,B-Opinion,I-Opinion,I-Opinion,I-Opinion,O,O,O,O,O,B-Quote,I-Quote,I-Quote,I-Quote,I-Quote,I-Quote"
by the time of the 2006 academy awards this best documentary winner about an animal s arctic yearly migration had out grossed all 5 best picture nominees,"O,O,O,O,O,B-Year,B-Award,I-Award,O,B-Award,I-Award,I-Award,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,O,O,O,O,O,B-Award,I-Award,O"
what is the name of the movie based on a very famous book about sisters living in the 1800 s,"O,O,O,O,O,O,O,O,O,O,B-Opinion,I-Opinion,B-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin,I-Origin"
sigourney weaver stars in this science fiction horror film directed by ridley scott that spawned sequels,"B-Actor,I-Actor,O,O,O,B-Genre,I-Genre,I-Genre,O,O,O,B-Director,I-Director,O,O,B-Relationship"
what is the movie based off an animated bear who has friends like a pig and a tiger,"O,O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the name of the 1954 movie directed by stanley donen focused on the courting of a group of females by a group of related males,"O,O,O,O,O,O,B-Year,O,O,O,B-Director,I-Director,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what 2011 animated film itself a sequel starred jack black as a klumsy but lovable bear,"O,B-Year,B-Genre,O,B-Relationship,I-Relationship,I-Relationship,O,B-Actor,I-Actor,O,O,O,O,O,O"
this miyazaki film won an oscar for best animated feature,"O,B-Director,O,O,O,B-Award,I-Award,I-Award,I-Award,I-Award"
what is this 1968 horror movie that sparked the zombie craze,"O,O,O,B-Year,B-Genre,O,O,O,O,O,O"
what is the movie about the bear who has friends that are a rabbit kangaroo and a tigger,"O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
i m thinking of a movie that involves two hitmen a boxer a gangsters wife all four of them intertwine with each other throughout various parts in the film,"O,O,O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the movie featuring two women played by geena davis and susan sarandon who take off in a thunderbird,"O,O,O,O,O,O,O,O,O,B-Actor,I-Actor,B-Plot,B-Actor,I-Actor,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is the name of the movie where drew barrymore and justin long have a relationship even though they live on opposite coasts,"O,O,O,O,O,O,O,O,B-Actor,I-Actor,O,B-Actor,I-Actor,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what s that movie about the grumpy semi bald guy that relives the same day over and over,"O,O,O,O,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what is this 1997 masterpiece directed by james cameron featuring a ship crashing into an iceberg,"O,O,O,B-Year,B-Opinion,O,O,B-Director,I-Director,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what was the 2010 movie starring leonardo dicaprio as a police officer investigating an asylum that was n t as it seemed,"O,O,O,B-Year,O,O,B-Actor,I-Actor,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,O,O,O,O,O,O,O"
what female friendly adult comedy featured a breakout role for melissa mccarthy as a tomboy ish sexed crazed sister of the groom,"O,B-Opinion,I-Opinion,B-Genre,I-Genre,O,O,O,O,O,B-Actor,I-Actor,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what s the movie based on the melville novel about a monomaniacal sea captain hunting a giant white whale,"O,O,O,O,O,O,O,B-Origin,I-Origin,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
what ang lee film was oscar nominated for best picture while winning the best foreign language film oscar,"O,B-Director,I-Director,O,O,B-Award,I-Award,I-Award,I-Award,I-Award,O,B-Award,I-Award,I-Award,I-Award,I-Award,I-Award,I-Award"
what is the movie starring christopher reeve as a playwright who finds a way to go into the past to find the woman he loves,"O,O,O,O,O,B-Actor,I-Actor,O,O,B-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot,I-Plot"
